Month,Isopod_ID,Field_Habitat,Color_Initial,Tank_ID,Trial_Type,Time_Interval,Time (h),Location,Location_Color,Location_Habitat,Sex,Weather,Date_of_Collection,Area (cmsq)
May,BR2,Eelgrass,BR,C,BASU/BAFU,0,10:14,SB,NONE,SB,F,"70F, Sunny",Late April,0.435
May,BR2,Eelgrass,BR,C,BASU/BAFU,1,11:41,SB,NONE,SB,F,"70F, Sunny",Late April,0.435
May,BR2,Eelgrass,BR,C,BASU/BAFU,2,12:43,BASU,B,ASU,F,"70F, Sunny",Late April,0.435
May,BR2,Eelgrass,BR,C,BASU/BAFU,,N/A,N/A,N/A,N/A,F,"70F, Sunny",Late April,0.435
May,GR3,Eelgrass,GR,A,BASU/BAFU,0,9:33,SB,NONE,SB,M,"61F, Rainy, Cloudy",Late April,1.652
May,GR3,Eelgrass,GR,A,BASU/BAFU,1,10:39,BASU,B,ASU,M,"61F, Rainy, Cloudy",Late April,1.652
May,GR3,Eelgrass,GR,A,BASU/BAFU,2,11:33,TW,NONE,TW,M,"61F, Rainy, Cloudy",Late April,1.652
May,GR3,Eelgrass,GR,A,BASU/BAFU,3,12:39,BASU,B,ASU,M,"61F, Rainy, Cloudy",Late April,1.652
May,BR3,Eelgrass,BR,B,GASU/GAFU,0,9:36,Drain,NONE,Drain,F,"61F, Rainy, Cloudy",Late April,0.491
May,BR3,Eelgrass,BR,B,GASU/GAFU,1,10:36,GASU,G,ASU,F,"61F, Rainy, Cloudy",Late April,0.491
May,BR3,Eelgrass,BR,B,GASU/GAFU,2,11:36,GASU,G,ASU,F,"61F, Rainy, Cloudy",Late April,0.491
May,BR3,Eelgrass,BR,B,GASU/GAFU,3,12:36,GASU,G,ASU,F,"61F, Rainy, Cloudy",Late April,0.491
May,GR4,Eelgrass,GR,C,BASU/BAFU,0,9:45,BASU,B,ASU,M,"61F, Rainy, Cloudy",Late April,1.1
May,GR4,Eelgrass,GR,C,BASU/BAFU,1,10:45,BAFU,B,AFU,M,"61F, Rainy, Cloudy",Late April,1.1
May,GR4,Eelgrass,GR,C,BASU/BAFU,2,11:45,BAFU,B,AFU,M,"61F, Rainy, Cloudy",Late April,1.1
May,GR4,Eelgrass,GR,C,BASU/BAFU,3,12:44,SW,B,AFU,M,"61F, Rainy, Cloudy",Late April,1.1
May,BR4,Eelgrass,BR,D,GASU/GAFU,0,9:51,SB,NONE,SB,M,"61F, Rainy, Cloudy",Late April,1.512
May,BR4,Eelgrass,BR,D,GASU/GAFU,1,10:51,GASU,G,ASU,M,"61F, Rainy, Cloudy",Late April,1.512
May,BR4,Eelgrass,BR,D,GASU/GAFU,2,11:51,GASU,G,ASU,M,"61F, Rainy, Cloudy",Late April,1.512
May,BR4,Eelgrass,BR,D,GASU/GAFU,3,12:49,GASU,G,ASU,M,"61F, Rainy, Cloudy",Late April,1.512
May,BR5,Eelgrass,BR,A,BASU/BAFU,0,13:21,SB,NONE,SB,F,"66F, Sunny, Some Clouds",Late April,0.309
May,BR5,Eelgrass,BR,A,BASU/BAFU,1,14:20,BASU,B,ASU,F,"66F, Sunny, Some Clouds",Late April,0.309
May,BR5,Eelgrass,BR,A,BASU/BAFU,2,15:20,BASU,B,ASU,F,"66F, Sunny, Some Clouds",Late April,0.309
May,BR5,Eelgrass,BR,A,BASU/BAFU,3,4:21,BASU,B,ASU,F,"66F, Sunny, Some Clouds",Late April,0.309
May,GR5,Eelgrass,GR,B,GASU/GAFU,0,13:26,GASU,G,ASU,M,"66F, Sunny, Some Clouds",Late April,1.376
May,GR5,Eelgrass,GR,B,GASU/GAFU,1,14:26,GASU,G,ASU,M,"66F, Sunny, Some Clouds",Late April,1.376
May,GR5,Eelgrass,GR,B,GASU/GAFU,2,15:26,GASU,G,ASU,M,"66F, Sunny, Some Clouds",Late April,1.376
May,GR5,Eelgrass,GR,B,GASU/GAFU,3,16:26,GASU,G,ASU,M,"66F, Sunny, Some Clouds",Late April,1.376
May,BR6,Eelgrass,BR,C,BASU/BAFU,0,13:32,SW,NONE,Drain,M*,"66F, Sunny, Some Clouds",Late April,0.294
May,BR6,Eelgrass,BR,C,BASU/BAFU,1,14:32,BASU,B,ASU,M*,"66F, Sunny, Some Clouds",Late April,0.294
May,BR6,Eelgrass,BR,C,BASU/BAFU,2,15:32,BASU,B,ASU,M*,"66F, Sunny, Some Clouds",Late April,0.294
May,BR6,Eelgrass,BR,C,BASU/BAFU,3,16:32,BASU,B,ASU,M*,"66F, Sunny, Some Clouds",Late April,0.294
May,GR6,Eelgrass,GR,D,GASU/GAFU,0,13:40,GASU,G,ASU,M,"66F, Sunny, Some Clouds",Late April,1.091
May,GR6,Eelgrass,GR,D,GASU/GAFU,1,14:43,Drain,NONE,Drain,M,"66F, Sunny, Some Clouds",Late April,1.091
May,GR6,Eelgrass,GR,D,GASU/GAFU,2,15:39,TW,NONE,TW,M,"66F, Sunny, Some Clouds",Late April,1.091
May,GR6,Eelgrass,GR,D,GASU/GAFU,3,16:39,SW,NONE,TW,M,"66F, Sunny, Some Clouds",Late April,1.091
May,GR7,Eelgrass,GR,A,BASU/BAFU,0,9:17,BAFU,B,AFU,M,"60F, partly cloudy",Late April,0.469
May,GR7,Eelgrass,GR,A,BASU/BAFU,1,10:17,BAFU,B,AFU,M,"60F, partly cloudy",Late April,0.469
May,GR7,Eelgrass,GR,A,BASU/BAFU,2,11:17,BAFU,B,AFU,M,"60F, partly cloudy",Late April,0.469
May,GR7,Eelgrass,GR,A,BASU/BAFU,3,12:17,BAFU,B,AFU,M,"60F, partly cloudy",Late April,0.469
May,BR7,Eelgrass,BR,B,GASU/GAFU,0,9:19,GASU,G,ASU,M,"60F, partly cloudy",Late April,0.261
May,BR7,Eelgrass,BR,B,GASU/GAFU,1,10:19,GASU,G,ASU,M,"60F, partly cloudy",Late April,0.261
May,BR7,Eelgrass,BR,B,GASU/GAFU,2,11:19,GASU,G,ASU,M,"60F, partly cloudy",Late April,0.261
May,BR7,Eelgrass,BR,B,GASU/GAFU,3,12:19,GASU,G,ASU,M,"60F, partly cloudy",Late April,0.261
May,GR8,Eelgrass,GR,C,BASU/BAFU,0,9:28,SB,NONE,SB,M,"60F, partly cloudy",Late April,0.846
May,GR8,Eelgrass,GR,C,BASU/BAFU,1,10:28,SW,NONE,TW,M,"60F, partly cloudy",Late April,0.846
May,GR8,Eelgrass,GR,C,BASU/BAFU,2,11:31,BASU,B,ASU,M,"60F, partly cloudy",Late April,0.846
May,GR8,Eelgrass,GR,C,BASU/BAFU,3,12:38,TW,NONE,TW,M,"60F, partly cloudy",Late April,0.846
May,BR8,Eelgrass,BR,D,GASU/GAFU,0,9:29,GASU,G,ASU,M,"60F, partly cloudy",Late April,0.294
May,BR8,Eelgrass,BR,D,GASU/GAFU,1,10:29,GASU,G,ASU,M,"60F, partly cloudy",Late April,0.294
May,BR8,Eelgrass,BR,D,GASU/GAFU,2,11:38,TW,NONE,TW,M,"60F, partly cloudy",Late April,0.294
May,BR8,Eelgrass,BR,D,GASU/GAFU,3,12:39,GASU,G,ASU,M,"60F, partly cloudy",Late April,0.294
May,BR9,Eelgrass,BR,A,BASU/BAFU,0,12:42,SW,NONE,Drain,M,"60F, partly cloudy",Late April,0.505
May,BR9,Eelgrass,BR,A,BASU/BAFU,1,14:20,Drain,NONE,Drain,M,"60F, partly cloudy",Late April,0.505
May,BR9,Eelgrass,BR,A,BASU/BAFU,2,14:57,BAFU,B,AFU,M,"60F, partly cloudy",Late April,0.505
May,BR9,Eelgrass,BR,A,BASU/BAFU,3,15:57:00,TW,NONE,TW,M,"60F, partly cloudy",Late April,0.505
May,GR9,Eelgrass,GR,B,GASU/GAFU,0,12:46,GASU,G,ASU,M,"60F, partly cloudy",Late April,0.195
May,GR9,Eelgrass,GR,B,GASU/GAFU,1,N/A,N/A,N/A,N/A,M,"60F, partly cloudy",Late April,0.195
May,GR9,Eelgrass,GR,B,GASU/GAFU,2,N/A,N/A,N/A,N/A,M,"60F, partly cloudy",Late April,0.195
May,GR9,Eelgrass,GR,B,GASU/GAFU,3,N/A,N/A,N/A,N/A,M,"60F, partly cloudy",Late April,0.195
May,BR10,Eelgrass,BR,C,BASU/BAFU,0,12:53,SB,NONE,SB,M,"60F, partly cloudy",Late April,0.493
May,BR10,Eelgrass,BR,C,BASU/BAFU,1,13:53,SB,NONE,SB,M,"60F, partly cloudy",Late April,0.493
May,BR10,Eelgrass,BR,C,BASU/BAFU,2,15:00,BASU,B,ASU,M,"60F, partly cloudy",Late April,0.493
May,BR10,Eelgrass,BR,C,BASU/BAFU,3,16:01,BASU,B,ASU,M,"60F, partly cloudy",Late April,0.493
May,GR10,Eelgrass,GR,D,GASU/GAFU,0,13:07,Drain,NONE,Drain,M,"60F, partly cloudy",Late April,0.497
May,GR10,Eelgrass,GR,D,GASU/GAFU,1,14:17,Drain,NONE,Drain,M,"60F, partly cloudy",Late April,0.497
May,GR10,Eelgrass,GR,D,GASU/GAFU,2,15:07,Drain,NONE,Drain,M,"60F, partly cloudy",Late April,0.497
May,GR10,Eelgrass,GR,D,GASU/GAFU,3,16:07,Drain,NONE,Drain,M,"60F, partly cloudy",Late April,0.497
May,GR11,Eelgrass,GR,A,BASU/BAFU,0,9:18,SB,NONE,SB,M,"60F, sunny",Late April,0.779
May,GR11,Eelgrass,GR,A,BASU/BAFU,1,10:18,BASU,B,ASU,M,"60F, sunny",Late April,0.779
May,GR11,Eelgrass,GR,A,BASU/BAFU,2,11:18,BASU,B,ASU,M,"60F, sunny",Late April,0.779
May,GR11,Eelgrass,GR,A,BASU/BAFU,3,12:20,BASU,B,ASU,M,"60F, sunny",Late April,0.779
May,BR11,Eelgrass,BR,B,GASU/GAFU,0,9:26,GASU,G,ASU,M,"60F, sunny",Late April,0.319
May,BR11,Eelgrass,BR,B,GASU/GAFU,1,10:26,GASU,G,ASU,M,"60F, sunny",Late April,0.319
May,BR11,Eelgrass,BR,B,GASU/GAFU,2,11:26,GASU,G,ASU,M,"60F, sunny",Late April,0.319
May,BR11,Eelgrass,BR,B,GASU/GAFU,3,12:26,GASU,G,ASU,M,"60F, sunny",Late April,0.319
May,GR12,Eelgrass,GR,C,BASU/BAFU,0,9:30,SW,NONE,TW,M,"60F, sunny",Late April,1.464
May,GR12,Eelgrass,GR,C,BASU/BAFU,1,10:30,SW,NONE,TW,M,"60F, sunny",Late April,1.464
May,GR12,Eelgrass,GR,C,BASU/BAFU,2,11:30,BASU,B,ASU,M,"60F, sunny",Late April,1.464
May,GR12,Eelgrass,GR,C,BASU/BAFU,3,12:30,BASU,B,ASU,M,"60F, sunny",Late April,1.464
May,BR12,Eelgrass,BR,D,GASU/GAFU,0,9:35,SB,NONE,SB,M,"60F, sunny",Late April,0.855
May,BR12,Eelgrass,BR,D,GASU/GAFU,1,10:35,SB,NONE,SB,M,"60F, sunny",Late April,0.855
May,BR12,Eelgrass,BR,D,GASU/GAFU,2,11:35,GASU,G,ASU,M,"60F, sunny",Late April,0.855
May,BR12,Eelgrass,BR,D,GASU/GAFU,3,12:36,GASU,G,ASU,M,"60F, sunny",Late April,0.855
May,BR13,Eelgrass,BR,A,BASU/BAFU,0,12:49,BAFU,B,AFU,F,"61F, Sunny",Late April,0.472
May,BR13,Eelgrass,BR,A,BASU/BAFU,1,13:49,BASU,B,ASU,F,"61F, Sunny",Late April,0.472
May,BR13,Eelgrass,BR,A,BASU/BAFU,2,14:49,BASU,B,ASU,F,"61F, Sunny",Late April,0.472
May,BR13,Eelgrass,BR,A,BASU/BAFU,3,15:49,BASU,B,ASU,F,"61F, Sunny",Late April,0.472
May,GR13,Eelgrass,GR,B,GASU/GAFU,0,13:07,SB,NONE,SB,M,"61F, Sunny",Late April,0.555
May,GR13,Eelgrass,GR,B,GASU/GAFU,1,14:07,TW,NONE,TW,M,"61F, Sunny",Late April,0.555
May,GR13,Eelgrass,GR,B,GASU/GAFU,2,15:07,TW,NONE,TW,M,"61F, Sunny",Late April,0.555
May,GR13,Eelgrass,GR,B,GASU/GAFU,3,16:07,SW,NONE,TW,M,"61F, Sunny",Late April,0.555
May,BR14,Eelgrass,BR,C,BASU/BAFU,0,12:57,SB,NONE,SB,F,"61F, Sunny",Late April,0.319
May,BR14,Eelgrass,BR,C,BASU/BAFU,1,13:57,BAFU,B,AFU,F,"61F, Sunny",Late April,0.319
May,BR14,Eelgrass,BR,C,BASU/BAFU,2,14:57,BAFU,B,AFU,F,"61F, Sunny",Late April,0.319
May,BR14,Eelgrass,BR,C,BASU/BAFU,3,15:57,TW,NONE,TW,F,"61F, Sunny",Late April,0.319
May,GR14,Eelgrass,GR,D,GASU/GAFU,0,13:03,SB,NONE,SB,M,"61F, Sunny",Late April,0.403
May,GR14,Eelgrass,GR,D,GASU/GAFU,1,14:03,GASU,G,ASU,M,"61F, Sunny",Late April,0.403
May,GR14,Eelgrass,GR,D,GASU/GAFU,2,15:03,SW,G,ASU,M,"61F, Sunny",Late April,0.403
May,GR14,Eelgrass,GR,D,GASU/GAFU,3,16:03,TW,NONE,TW,M,"61F, Sunny",Late April,0.403
May,GR15,Eelgrass,GR,A,BASU/BAFU,0,9:23,BASU,B,ASU,M,"61F, Partly Cloudy",Early May,0.376
May,GR15,Eelgrass,GR,A,BASU/BAFU,1,10:23,BASU,B,ASU,M,"61F, Partly Cloudy",Early May,0.376
May,GR15,Eelgrass,GR,A,BASU/BAFU,2,11:23,BASU,B,ASU,M,"61F, Partly Cloudy",Early May,0.376
May,GR15,Eelgrass,GR,A,BASU/BAFU,3,12:23,BASU,B,ASU,M,"61F, Partly Cloudy",Early May,0.376
May,BR15,Eelgrass,BR,B,GASU/GAFU,0,9:29,SB,NONE,SB,F*,"61F, Partly Cloudy",Early May,0.289
May,BR15,Eelgrass,BR,B,GASU/GAFU,1,10:31,GAFU,G,AFU,F*,"61F, Partly Cloudy",Early May,0.289
May,BR15,Eelgrass,BR,B,GASU/GAFU,2,11:29,GAFU,G,AFU,F*,"61F, Partly Cloudy",Early May,0.289
May,BR15,Eelgrass,BR,B,GASU/GAFU,3,12:29,GAFU,G,AFU,F*,"61F, Partly Cloudy",Early May,0.289
May,GR16,Eelgrass,GR,C,BASU/BAFU,0,9:36,SB,NONE,SB,M,"61F, Partly Cloudy",Early May,0.526
May,GR16,Eelgrass,GR,C,BASU/BAFU,1,10:36,BASU,B,ASU,M,"61F, Partly Cloudy",Early May,0.526
May,GR16,Eelgrass,GR,C,BASU/BAFU,2,11:36,BASU,B,ASU,M,"61F, Partly Cloudy",Early May,0.526
May,GR16,Eelgrass,GR,C,BASU/BAFU,3,12:36,BASU,B,ASU,M,"61F, Partly Cloudy",Early May,0.526
May,BR16,Eelgrass,BR,D,GASU/GAFU,0,9:40,GAFU,G,AFU,F,"61F, Partly Cloudy",Early May,0.443
May,BR16,Eelgrass,BR,D,GASU/GAFU,1,10:40,GAFU,G,AFU,F,"61F, Partly Cloudy",Early May,0.443
May,BR16,Eelgrass,BR,D,GASU/GAFU,2,11:40,GAFU,G,AFU,F,"61F, Partly Cloudy",Early May,0.443
May,BR16,Eelgrass,BR,D,GASU/GAFU,3,12:40,GAFU,G,AFU,F,"61F, Partly Cloudy",Early May,0.443
May,BR17,Eelgrass,BR,A,BASU/BAFU,0,9:46,BAFU,B,AFU,M,"54F, Cloudy",Early May,0.618
May,BR17,Eelgrass,BR,A,BASU/BAFU,1,10:46,BAFU,B,AFU,M,"54F, Cloudy",Early May,0.618
May,BR17,Eelgrass,BR,A,BASU/BAFU,2,11:46,BAFU,B,AFU,M,"54F, Cloudy",Early May,0.618
May,BR17,Eelgrass,BR,A,BASU/BAFU,3,12:46,BAFU,B,AFU,M,"54F, Cloudy",Early May,0.618
May,GR17,Eelgrass,GR,B,GASU/GAFU,0,9:50,GASU,G,ASU,M,"54F, Cloudy",Early May,0.475
May,GR17,Eelgrass,GR,B,GASU/GAFU,1,10:50,GASU,G,ASU,M,"54F, Cloudy",Early May,0.475
May,GR17,Eelgrass,GR,B,GASU/GAFU,2,11:52,SW,NONE,TW,M,"54F, Cloudy",Early May,0.475
May,GR17,Eelgrass,GR,B,GASU/GAFU,3,12:52,GASU,G,ASU,M,"54F, Cloudy",Early May,0.475
May,BR18,Eelgrass,BR,C,BASU/BAFU,0,9:54,BASU,B,ASU,F,"54F, Cloudy",Early May,0.238
May,BR18,Eelgrass,BR,C,BASU/BAFU,1,10:55,BASU,B,ASU,F,"54F, Cloudy",Early May,0.238
May,BR18,Eelgrass,BR,C,BASU/BAFU,2,11:55,BASU,B,ASU,F,"54F, Cloudy",Early May,0.238
May,BR18,Eelgrass,BR,C,BASU/BAFU,3,12:54,BASU,B,ASU,F,"54F, Cloudy",Early May,0.238
May,GR18,Eelgrass,GR,D,GASU/GAFU,0,10:23,SB,NONE,SB,M,"54F, Cloudy",Early May,0.658
May,GR18,Eelgrass,GR,D,GASU/GAFU,1,11:23,SB,NONE,SB,M,"54F, Cloudy",Early May,0.658
May,GR18,Eelgrass,GR,D,GASU/GAFU,2,12:26,SB,NONE,SB,M,"54F, Cloudy",Early May,0.658
May,GR18,Eelgrass,GR,D,GASU/GAFU,3,1:23,SB,NONE,SB,M,"54F, Cloudy",Early May,0.658
May,GR19,Eelgrass,GR,A,BASU/BAFU,0,12:55,BASU,B,ASU,M,"54F, Cloudy",Early May,0.299
May,GR19,Eelgrass,GR,A,BASU/BAFU,1,13:55,BASU,B,ASU,M,"54F, Cloudy",Early May,0.299
May,GR19,Eelgrass,GR,A,BASU/BAFU,2,14:55,BASU,B,ASU,M,"54F, Cloudy",Early May,0.299
May,GR19,Eelgrass,GR,A,BASU/BAFU,3,15:55,BASU,B,ASU,M,"54F, Cloudy",Early May,0.299
May,BR19,Eelgrass,BR,B,GASU/GAFU,0,13:00,GASU,G,ASU,M,"54F, Cloudy",Early May,0.532
May,BR19,Eelgrass,BR,B,GASU/GAFU,1,14:00,GASU,G,ASU,M,"54F, Cloudy",Early May,0.532
May,BR19,Eelgrass,BR,B,GASU/GAFU,2,15:00,GASU,G,ASU,M,"54F, Cloudy",Early May,0.532
May,BR19,Eelgrass,BR,B,GASU/GAFU,3,16:00,GASU,G,ASU,M,"54F, Cloudy",Early May,0.532
May,GR20,Eelgrass,GR,C,BASU/BAFU,0,13:05,BAFU,B,AFU,M,"54F, Cloudy",Early May,0.504
May,GR20,Eelgrass,GR,C,BASU/BAFU,1,14:20,BAFU,B,AFU,M,"54F, Cloudy",Early May,0.504
May,GR20,Eelgrass,GR,C,BASU/BAFU,2,15:05,BAFU,B,AFU,M,"54F, Cloudy",Early May,0.504
May,GR20,Eelgrass,GR,C,BASU/BAFU,3,16:05,BAFU,B,AFU,M,"54F, Cloudy",Early May,0.504
May,BR20,Eelgrass,BR,D,GASU/GAFU,0,13:48,TW,NONE,TW,F,"54F, Cloudy",Early May,0.24
May,BR20,Eelgrass,BR,D,GASU/GAFU,1,14:48,TW,NONE,TW,F,"54F, Cloudy",Early May,0.24
May,BR20,Eelgrass,BR,D,GASU/GAFU,2,15:48,SB,NONE,SB,F,"54F, Cloudy",Early May,0.24
May,BR20,Eelgrass,BR,D,GASU/GAFU,3,16:50,GASU,G,ASU,F,"54F, Cloudy",Early May,0.24
May,BR21,Fucus,BR,A,BASU/BAFU,0,9:45,BASU,B,ASU,M,"61F, Partly Cloudy",Early May,0.417
May,BR21,Fucus,BR,A,BASU/BAFU,1,10:47,BASU,B,ASU,M,"61F, Partly Cloudy",Early May,0.417
May,BR21,Fucus,BR,A,BASU/BAFU,2,11:45,BASU,B,ASU,M,"61F, Partly Cloudy",Early May,0.417
May,BR21,Fucus,BR,A,BASU/BAFU,3,12:45,BASU,B,ASU,M,"61F, Partly Cloudy",Early May,0.417
May,GR21,Fucus,GR,B,GASU/GAFU,0,9:58,GAFU,G,AFU,M,"61F, Partly Cloudy",Early May,0.458
May,GR21,Fucus,GR,B,GASU/GAFU,1,11:16,GASU,G,ASU,M,"61F, Partly Cloudy",Early May,0.458
May,GR21,Fucus,GR,B,GASU/GAFU,2,11:58,GASU,G,ASU,M,"61F, Partly Cloudy",Early May,0.458
May,GR21,Fucus,GR,B,GASU/GAFU,3,12:58,GASU,G,ASU,M,"61F, Partly Cloudy",Early May,0.458
May,BR22,Fucus,BR,C,BASU/BAFU,0,10:06,BAFU,B,AFU,M,"61F, Partly Cloudy",Early May,0.314
May,BR22,Fucus,BR,C,BASU/BAFU,1,11:06,BAFU,B,AFU,M,"61F, Partly Cloudy",Early May,0.314
May,BR22,Fucus,BR,C,BASU/BAFU,2,12:08,BAFU,B,AFU,M,"61F, Partly Cloudy",Early May,0.314
May,BR22,Fucus,BR,C,BASU/BAFU,3,13:10,BASU,G,ASU,M,"61F, Partly Cloudy",Early May,0.314
May,GR22,Fucus,GR,D,GASU/GAFU,0,10:12,GAFU,B,AFU,M,"61F, Partly Cloudy",Early May,0.793
May,GR22,Fucus,GR,D,GASU/GAFU,1,11:12,GASU,G,ASU,M,"61F, Partly Cloudy",Early May,0.793
May,GR22,Fucus,GR,D,GASU/GAFU,2,12:12,GASU,G,ASU,M,"61F, Partly Cloudy",Early May,0.793
May,GR22,Fucus,GR,D,GASU/GAFU,3,13:12,GASU,G,ASU,M,"61F, Partly Cloudy",Early May,0.793
May,GR23,Fucus,GR,A,BASU/BAFU,0,13:23,TW,NONE,TW,M,"61F, Partly Cloudy",Early May,0.603
May,GR23,Fucus,GR,A,BASU/BAFU,1,N/A,N/A,N/A,N/A,M,"61F, Partly Cloudy",Early May,0.603
May,GR23,Fucus,GR,A,BASU/BAFU,2,15:31,BASU,B,ASU,M,"61F, Partly Cloudy",Early May,0.603
May,GR23,Fucus,GR,A,BASU/BAFU,3,16:18,BAFU,B,AFU,M,"61F, Partly Cloudy",Early May,0.603
May,BR23,Fucus,BR,B,GASU/GAFU,0,13:36,GAFU,G,AFU,F,"61F, Partly Cloudy",Early May,0.376
May,BR23,Fucus,BR,B,GASU/GAFU,1,N/A,N/A,N/A,N/A,F,"61F, Partly Cloudy",Early May,0.376
May,BR23,Fucus,BR,B,GASU/GAFU,2,16:07,GAFU,G,AFU,F,"61F, Partly Cloudy",Early May,0.376
May,BR23,Fucus,BR,B,GASU/GAFU,3,16:39,GAFU,G,AFU,F,"61F, Partly Cloudy",Early May,0.376
May,GR24,Fucus,GR,C,BASU/BAFU,0,13:27,SB,NONE,SB,M,"61F, Partly Cloudy",Early May,0.644
May,GR24,Fucus,GR,C,BASU/BAFU,1,N/A,N/A,N/A,N/A,M,"61F, Partly Cloudy",Early May,0.644
May,GR24,Fucus,GR,C,BASU/BAFU,2,16:10,BASU,B,ASU,M,"61F, Partly Cloudy",Early May,0.644
May,GR24,Fucus,GR,C,BASU/BAFU,3,16:27,BASU,B,ASU,M,"61F, Partly Cloudy",Early May,0.644
May,BR24,Fucus,BR,D,GASU/GAFU,0,13:31,SB,NONE,SB,F,"61F, Partly Cloudy",Early May,0.57
May,BR24,Fucus,BR,D,GASU/GAFU,1,14:32,GASU,G,ASU,F,"61F, Partly Cloudy",Early May,0.57
May,BR24,Fucus,BR,D,GASU/GAFU,2,15:31,GASU,G,ASU,F,"61F, Partly Cloudy",Early May,0.57
May,BR24,Fucus,BR,D,GASU/GAFU,3,16:31,GASU,G,ASU,F,"61F, Partly Cloudy",Early May,0.57
May,BR23B,Eelgrass,BR,A,BASU/BAFU,0,9:12,BASU,B,ASU,M,"55F, Sunny",Early May,0.345
May,BR23B,Eelgrass,BR,A,BASU/BAFU,1,10:12,BASU,B,ASU,M,"55F, Sunny",Early May,0.345
May,BR23B,Eelgrass,BR,A,BASU/BAFU,2,11:12,BASU,B,ASU,M,"55F, Sunny",Early May,0.345
May,BR23B,Eelgrass,BR,A,BASU/BAFU,3,12:12,BASU,B,ASU,M,"55F, Sunny",Early May,0.345
May,GR23B,Eelgrass,GR,B,GASU/GAFU,0,9:14,TW,NONE,TW,M,"55F, Sunny",Early May,0.781
May,GR23B,Eelgrass,GR,B,GASU/GAFU,1,10:14,SW,G,ASU,M,"55F, Sunny",Early May,0.781
May,GR23B,Eelgrass,GR,B,GASU/GAFU,2,11:14,GASU,G,ASU,M,"55F, Sunny",Early May,0.781
May,GR23B,Eelgrass,GR,B,GASU/GAFU,3,12:14,GASU,G,ASU,M,"55F, Sunny",Early May,0.781
May,BR24B,Eelgrass,BR,C,BASU/BAFU,0,9:19,Drain,NONE,Drain,M,"55F, Sunny",Early May,0.399
May,BR24B,Eelgrass,BR,C,BASU/BAFU,1,10:20,BASU,B,ASU,M,"55F, Sunny",Early May,0.399
May,BR24B,Eelgrass,BR,C,BASU/BAFU,2,11:20,SW,NONE,TW,M,"55F, Sunny",Early May,0.399
May,BR24B,Eelgrass,BR,C,BASU/BAFU,3,12:19,SW,NONE,TW,M,"55F, Sunny",Early May,0.399
May,GR24B,Eelgrass,GR,D,GASU/GAFU,0,9:24,GASU,G,ASU,M,"55F, Sunny",Early May,0.532
