Trial_Type,Response,Interaction,df,ChiSq,p,beta_trial
"BASU/BAFU, GASU/BAFU",BAFU,Isopod_Color,1,0.023,0.88,1
"BASU/BAFU, GASU/BAFU",BAFU,Trial_Type,1,0.089,0.765,1
"BASU/BAFU, GASU/BAFU",BAFU,Date_of_Collection,4,6.267,0.18,1
"BASU/BAFU, GASU/BAFU",BAFU,Isopod_Color:Trial_Type,1,0.01,0.919,1
BASU/BAFU,BAFU,Isopod_Color,1,0.087,0.769,2
BASU/BAFU,BAFU,Field_Habitat,1,0.186,0.666,2
BASU/BAFU,BAFU,Isopod_Color:Field_Habitat,1,0.016,0.9,2
GASU/GAFU,GAFU,Isopod_Color,1,0.311,0.577,2g
GASU/GAFU,GAFU,Field_Habitat,1,2.623,0.105,2g
GASU/GAFU,GAFU,Isopod_Color:Field_Habitat,1,4.012,0.045*,2g
"BASU/BAFU, BASU/GAFU",BASU,Isopod_Color,1,0.276,0.599,3
"BASU/BAFU, BASU/GAFU",BASU,Trial_Type,1,0.887,0.246,3
"BASU/BAFU, BASU/GAFU",BASU,Date_of_Collection,4,11.583,0.021*,3
"BASU/BAFU, BASU/GAFU",BASU,Isopod_Color:Trial_Type,1,1.342,0.247,3
"GASU/BAFU, GASU/GAFU",GASU,Isopod_Color,1,2.385,0.122,4
"GASU/BAFU, GASU/GAFU",GASU,Trial_Type,1,3.16,0.078,4
"GASU/BAFU, GASU/GAFU",GASU,Date_of_Collection,4,3.544,0.472,4
"GASU/BAFU, GASU/GAFU",GASU,Isopod_Color:Trial_Type,1,0.169,0.681,4
"GASU/GAFU, BASU/GAFU",GAFU,Isopod_Color,1,0.742,0.389,6
"GASU/GAFU, BASU/GAFU",GAFU,Trial_Type,1,0.326,0.568,6
"GASU/GAFU, BASU/GAFU",GAFU,Date_of_Collection,4,7.073,0.132,6
"GASU/GAFU, BASU/GAFU",GAFU,Isopod_Color:Trial_Type,1,0.407,0.524,6
GASU/BAFU,GASU,Isopod_Color,1,3.101,0.078,5
GASU/BAFU,GASU,BAFU_new,1,27.452,0.0001***,5
GASU/BAFU,GASU,Date_of_Collection,2,0.647,0.724,5
GASU/BAFU,GASU,Isopod_Color:BAFU_new,1,0.069,0.792,5
BASU/GAFU,BASU,Isopod_Color,1,0.88,0.349,7