Habitat,Sex,Area,Green,Month,Binomial_Habitat
Eelgrass,F,0.345,131.53,June,1
Eelgrass,M,1.009,94.93,June,1
Eelgrass,F,0.367,170.22,June,1
Eelgrass,M,0.09,134.54,June,1
Eelgrass,F,0.302,135.11,June,1
Eelgrass,F,0.366,140.97,June,1
Eelgrass,F,0.455,148.68,June,1
Eelgrass,F,0.306,126.27,June,1
Eelgrass,F,0.384,141.38,June,1
Eelgrass,M,0.641,115.4,June,1
Eelgrass,M,0.363,116.26,June,1
Eelgrass,F,0.484,156.85,June,1
Eelgrass,F,0.427,149.16,June,1
Eelgrass,M,0.695,104.89,June,1
Eelgrass,F,0.293,128.15,June,1
Eelgrass,F,0.21,142.15,June,1
Eelgrass,F,0.307,159.57,June,1
Eelgrass,M,0.229,120.74,June,1
Eelgrass,M,0.571,102.54,June,1
Eelgrass,F,0.275,171.8,June,1
Eelgrass,M,0.574,121.67,June,1
Eelgrass,F,0.462,145.75,June,1
Eelgrass,M,0.827,127.12,June,1
Eelgrass,F,0.303,162.82,June,1
Eelgrass,F,0.323,167.87,June,1
Eelgrass,F,0.413,124.19,June,1
Eelgrass,M,0.467,111.41,June,1
Eelgrass,F,0.284,158.24,June,1
Eelgrass,F,0.263,177.33,June,1
Eelgrass,M,0.367,129.75,June,1
Eelgrass,F,0.473,158.92,June,1
Eelgrass,M,0.512,119.19,June,1
Eelgrass,F,0.198,166.95,June,1
Eelgrass,F,0.291,151.44,June,1
Eelgrass,F,0.298,164.91,June,1
Eelgrass,F,0.357,145.76,June,1
Eelgrass,F,0.297,167.6,June,1
Eelgrass,M,0.464,113.58,June,1
Eelgrass,M,0.43,116.28,June,1
Eelgrass,F,0.307,166.02,June,1
Eelgrass,F,0.184,152.3,June,1
Eelgrass,F,0.284,124.92,June,1
Eelgrass,F,0.384,153.02,June,1
Eelgrass,M,0.264,142.34,June,1
Eelgrass,F,0.382,145.34,June,1
Eelgrass,M,0.564,108.07,June,1
Eelgrass,F,0.494,149.41,June,1
Eelgrass,F,0.341,150.1,June,1
Eelgrass,M,0.468,142.09,June,1
Eelgrass,F,0.388,154.12,June,1
Eelgrass,F,0.37,141.88,June,1
Eelgrass,M,1.686,124.01,June,1
Eelgrass,F,0.363,161.37,June,1
Eelgrass,M,0.305,131.36,June,1
Eelgrass,F,0.728,157.62,June,1
Eelgrass,F,0.412,141.86,June,1
Eelgrass,F,0.427,129.21,June,1
Eelgrass,F,0.453,161.12,June,1
Eelgrass,M,0.207,128.36,June,1
Eelgrass,M,0.49,94.39,June,1
Eelgrass,F,0.384,128.51,June,1
Eelgrass,M,0.314,114.51,June,1
Eelgrass,M,0.342,113.4,June,1
Eelgrass,M,0.665,116.43,June,1
Eelgrass,M,0.537,119.38,June,1
Eelgrass,F,0.447,146.9,June,1
Eelgrass,M,0.286,127.19,June,1
Eelgrass,F,0.268,110.05,June,1
Fucus,M,1.38,124.71,June,0
Fucus,F,0.364,116.85,June,0
Fucus,F,0.438,153.15,June,0
Fucus,M,0.321,140.65,June,0
Fucus,F,0.299,121.38,June,0
Fucus,M,0.472,117.53,June,0
Fucus,M,1.262,112.73,June,0
Fucus,F,0.295,142.86,June,0
Fucus,M,0.587,140.12,June,0
Fucus,F,0.49,107.57,June,0
Fucus,M,0.345,103.02,June,0
Fucus,U,0.247,164.2,June,0
Fucus,M,1.297,121.74,June,0
Fucus,M,0.193,126.56,June,0
Fucus,F,0.487,147.24,June,0
Fucus,F,0.26,149.91,June,0
Fucus,F,0.341,148.73,June,0
Fucus,M,0.244,155.68,June,0
Fucus,M,1.112,101.89,June,0
Fucus,M,0.421,88.6,June,0
Fucus,F,0.467,135.81,June,0
Fucus,F,0.307,145.61,June,0
Fucus,M,0.292,92.73,June,0
Fucus,F,0.344,148.3,June,0
Fucus,M,0.246,128.56,June,0
Fucus,M,0.355,153.95,June,0
Fucus,F,0.261,113.95,June,0
Fucus,F,0.436,153.71,June,0
Fucus,M,0.449,133.13,June,0
Fucus,U,0.253,131.45,June,0
Fucus,F,0.361,164.88,June,0
Fucus,M,0.195,141.13,June,0
Fucus,M,0.182,117.02,June,0
Fucus,F,0.272,135.05,June,0
Fucus,M,1.277,99.13,June,0
Fucus,U,0.169,129.62,June,0
Fucus,F,0.31,118.73,June,0
Fucus,M,0.654,91.41,June,0
Fucus,F,0.416,117.81,June,0
Fucus,F,0.353,132.31,June,0
Fucus,M,0.191,146.24,June,0
Fucus,M,0.292,84.41,June,0
Fucus,M,1.687,121.35,June,0
Fucus,M,0.147,103.75,June,0
Fucus,M,0.366,96.34,June,0
Fucus,M,0.204,124.87,June,0
Fucus,M,0.145,137.58,June,0
Fucus,F,0.215,98.02,June,0
Fucus,M,0.161,118.43,June,0
Fucus,M,0.298,103.36,June,0
Fucus,M,0.279,98.6,June,0
Fucus,M,0.33,112.94,June,0
Fucus,U,0.357,124.07,June,0
Fucus,M,0.16,153.13,June,0
Fucus,M,0.176,146.59,June,0
Fucus,M,0.409,90.29,June,0
Fucus,M,0.318,127.27,June,0
Fucus,M,0.176,116,June,0
Fucus,U,0.202,154.36,June,0
Fucus,M,0.151,87.04,June,0
Fucus,M,0.648,102.48,June,0
Fucus,M,0.314,110.55,June,0
Fucus,F,0.246,140.94,June,0
Fucus,F,0.373,132.56,June,0
Fucus,F,0.369,158.78,June,0
Fucus,U,0.238,112.22,June,0
Fucus,F,0.426,135.4,June,0
Fucus,M,0.274,123.8,June,0
Fucus,M,0.323,106.28,June,0
Fucus,M,0.29,107.95,June,0
Fucus,F,0.301,148,June,0
Fucus,M,0.239,154.03,June,0
Fucus,F,0.318,150.67,May,0
Fucus,M,0.598,140.85,May,0
Fucus,F,0.287,138.67,May,0
Fucus,M,0.119,128.02,May,0
Fucus,M,0.253,131.9,May,0
Fucus,M,0.192,139.8,May,0
Fucus,M,0.166,94.06,May,0
Fucus,M,0.322,147.68,May,0
Fucus,M,0.166,116.3,May,0
Fucus,M,0.068,144.73,May,0
Fucus,M,0.147,147.35,May,0
Fucus,M,0.57,145.63,May,0
Fucus,M,0.888,132.13,May,0
Fucus,M,0.584,109.2,May,0
Fucus,M,0.51,107.78,May,0
Fucus,M,0.173,116.39,May,0
Fucus,M,0.599,115.01,May,0
Fucus,M,0.731,106.66,May,0
Fucus,M,0.418,115.84,May,0
Fucus,M,0.38,114.63,May,0
Fucus,M,0.833,101.34,May,0
Fucus,M,0.948,89.2,May,0
Fucus,M,0.836,94.22,May,0
Fucus,M,0.305,110.17,May,0
Fucus,M,0.132,97.51,May,0
Fucus,M,0.319,100.76,May,0
Fucus,M,0.141,139.77,May,0
Fucus,M,0.315,121.44,May,0
Fucus,M,0.205,78.1,May,0
Fucus,M,0.634,101.27,May,0
Fucus,M,0.286,73.13,May,0
Fucus,M,0.808,58.7,May,0
Fucus,M,0.301,106.92,May,0
Fucus,M,0.374,124.32,May,0
Fucus,M,0.803,110.57,May,0
Fucus,M,0.796,109.61,May,0
Fucus,F,0.445,122.74,May,0
Fucus,M,0.278,102.44,May,0
Fucus,M,0.146,104.91,May,0
Fucus,M,0.927,64.74,May,0
Fucus,M,0.2,102.58,May,0
Fucus,M,0.422,100.25,May,0
Fucus,M,0.26,122.92,May,0
Fucus,M,0.208,100.7,May,0
Fucus,M,0.251,74.71,May,0
Fucus,M,0.333,74.81,May,0
Fucus,M,1.402,113.45,May,0
Fucus,M,1.235,140.79,May,0
Fucus,M,0.51,135.94,May,0
Fucus,M,0.476,113.34,May,0
Fucus,M,0.134,127.04,May,0
Fucus,M,0.654,92.78,May,0
Fucus,M,1.071,100.89,May,0
Fucus,F,0.375,113.73,May,0
Fucus,M,0.89,114.95,May,0
Fucus,M,0.34,131.65,May,0
Fucus,M,0.814,119.64,May,0
Fucus,F,0.35,125.49,May,0
Fucus,M,0.235,122.53,May,0
Fucus,M,0.168,122.84,May,0
Fucus,M,0.151,105.45,May,0
Fucus,M,0.511,108.6,May,0
Fucus,M,0.163,112.78,May,0
Fucus,M,1.175,105.65,May,0
Fucus,M,0.233,110.82,May,0
Fucus,M,0.366,115.7,May,0
Fucus,M,0.177,114.01,May,0
Fucus,M,0.255,131.38,May,0
Fucus,F,0.341,108.77,May,0
Fucus,M,0.298,131.77,May,0
Fucus,M,0.502,86.04,May,0
Fucus,M,1.104,111.07,May,0
Fucus,M,0.224,121.71,May,0
Fucus,M,0.229,106.8,May,0
Eelgrass,M,0.386,122.95,May,1
Eelgrass,M,0.067,157.79,May,1
Eelgrass,M,0.095,149.45,May,1
Eelgrass,M,0.419,122.48,May,1
Eelgrass,F,0.28,156.37,May,1
Eelgrass,M,0.345,104.52,May,1
Eelgrass,M,0.257,181.91,May,1
Eelgrass,M,0.094,176.3,May,1
Eelgrass,M,0.14,132.2,May,1
Eelgrass,M,0.136,160.06,May,1
Eelgrass,F,0.233,137.11,May,1
Eelgrass,M,0.215,129.79,May,1
Eelgrass,M,0.545,93.86,May,1
Eelgrass,U,0.269,156.16,May,1
Eelgrass,M,0.143,133.12,May,1
Eelgrass,M,0.278,150.95,May,1
Eelgrass,M,0.278,91.05,May,1
Eelgrass,M,0.234,146.05,May,1
Eelgrass,M,0.104,143.68,May,1
Eelgrass,M,0.054,150.99,May,1
Eelgrass,M,0.237,130.64,May,1
Eelgrass,F,0.114,151.43,May,1
Eelgrass,M,0.062,163.1,May,1
Eelgrass,M,0.185,127.17,May,1
Eelgrass,M,0.687,146.82,May,1
Eelgrass,M,0.233,108.78,May,1
Eelgrass,M,0.224,72.04,May,1
Eelgrass,M,0.244,146.6,May,1
Eelgrass,M,0.668,119.86,May,1
Eelgrass,M,0.621,118.42,May,1
Eelgrass,F,0.113,164.97,May,1
Eelgrass,F,0.183,119.7,May,1
Eelgrass,M,0.161,133.31,May,1
Eelgrass,U,0.499,136.02,May,1
Eelgrass,M,0.383,116.29,May,1
Eelgrass,M,0.058,165.53,May,1
Eelgrass,M,0.071,167.22,May,1
Eelgrass,M,0.076,164.09,May,1
Eelgrass,M,0.154,116.02,May,1
Eelgrass,M,0.161,180,May,1
Eelgrass,M,0.186,177.44,May,1
Eelgrass,M,0.264,154.15,May,1
Eelgrass,M,0.131,106.06,May,1
Eelgrass,M,0.087,181.81,May,1
Eelgrass,M,0.284,117.7,May,1
Eelgrass,M,0.429,123.12,May,1
Eelgrass,M,0.355,133.25,May,1
Eelgrass,M,0.515,127.83,May,1
Eelgrass,M,0.401,118.5,May,1
Eelgrass,M,0.087,127.6,May,1
Eelgrass,M,0.118,145.73,May,1
Eelgrass,M,0.122,156.49,May,1
Eelgrass,M,0.064,169.34,May,1
Eelgrass,M,0.06,175.05,May,1
Eelgrass,M,0.089,166.9,May,1
Eelgrass,F,0.337,138.76,May,1
Eelgrass,M,0.491,104.85,May,1
Eelgrass,M,0.112,121.11,May,1
Eelgrass,M,0.288,133.3,May,1
Eelgrass,M,0.107,166.68,May,1
Eelgrass,M,0.632,86,May,1
Eelgrass,M,1.16,97.28,May,1
Eelgrass,M,0.57,165.17,May,1
Eelgrass,M,1.306,116.05,May,1
Eelgrass,M,0.084,140.68,May,1
Eelgrass,M,0.453,143.51,May,1
Eelgrass,M,0.388,132.89,May,1
Eelgrass,M,0.149,141.76,May,1
Eelgrass,M,0.351,112.79,May,1
Eelgrass,M,0.241,128.13,May,1
Eelgrass,M,0.263,113.17,May,1
Eelgrass,M,0.339,190.74,May,1
Eelgrass,M,0.413,156.77,May,1
Eelgrass,F,0.304,154.21,May,1
Eelgrass,M,0.188,140,May,1
Eelgrass,M,0.106,113.17,May,1
Eelgrass,M,0.227,103.28,July,1
Eelgrass,M,0.235,90.79,July,1
Eelgrass,F,0.274,119.42,July,1
Eelgrass,M,0.273,96.61,July,1
Eelgrass,F,0.4,128.57,July,1
Eelgrass,F,0.348,137.17,July,1
Eelgrass,F,0.364,127.29,July,1
Eelgrass,M,0.613,82.35,July,1
Eelgrass,F,0.424,120.49,July,1
Eelgrass,F,0.228,111.01,July,1
Eelgrass,F,0.309,128.03,July,1
Eelgrass,F,0.286,108.85,July,1
Eelgrass,M,0.37,126.98,July,1
Eelgrass,U,0.054,55.94,July,1
Eelgrass,U,0.037,97.12,July,1
Eelgrass,U,0.047,85.44,July,1
Eelgrass,U,0.022,95.53,July,1
Eelgrass,U,0.046,46.32,July,1
Eelgrass,M,0.235,56.12,July,1
Eelgrass,M,0.885,54.08,July,1
Eelgrass,U,0.045,35.86,July,1
Eelgrass,M,0.415,75.41,July,1
Eelgrass,M,0.615,60.32,July,1
Eelgrass,M,0.537,61.84,July,1
Eelgrass,F,0.342,97.28,July,1
Eelgrass,U,0.022,123.6,July,1
Eelgrass,M,0.162,83.88,July,1
Eelgrass,U,0.022,84.73,July,1
Fucus,F,0.244,138.26,July,0
Fucus,M,0.849,76.53,July,0
Fucus,M,0.664,62.11,July,0
Fucus,M,0.364,125.71,July,0
Fucus,F,0.418,135.32,July,0
Fucus,F,0.303,99.53,July,0
Fucus,M,0.823,90.21,July,0
Fucus,F,0.407,104.03,July,0
Fucus,F,0.263,124.78,July,0
Fucus,M,1.398,135.13,July,0
Fucus,F,0.303,125.6,July,0
Fucus,F,0.397,113.5,July,0
Fucus,F,0.448,121.03,July,0
Fucus,M,0.466,151.18,July,0
Fucus,M,1.266,126.89,July,0
Fucus,M,0.968,90.22,July,0
Fucus,U,0.297,128.16,July,0
Fucus,F,0.338,144.97,July,0
Fucus,F,0.42,133.83,July,0
Fucus,M,1.002,90.29,July,0
Fucus,F,0.615,126.72,July,0
Fucus,F,0.356,139.77,July,0
Fucus,F,0.538,136.96,July,0
Fucus,M,1.224,91.34,July,0
Fucus,M,0.672,105.99,July,0
Fucus,M,0.78,104.18,July,0
Fucus,F,0.422,145.43,July,0
Fucus,F,0.48,151.01,July,0
Fucus,M,0.982,96.53,July,0
Fucus,F,0.375,137.59,July,0
Fucus,M,0.709,102.53,July,0
Fucus,F,0.344,117.06,July,0
Fucus,F,0.367,155.59,July,0
Fucus,F,0.356,140.77,July,0
Fucus,F,0.339,111.05,July,0
Fucus,M,0.388,122.45,July,0
Fucus,F,0.419,93.8,July,0
Fucus,M,0.215,117.47,July,0
Fucus,F,0.445,125.43,July,0
Fucus,F,0.468,137.38,July,0
Fucus,F,0.364,98.97,July,0
Fucus,F,0.28,122.12,July,0
Fucus,F,0.26,116.97,July,0
Fucus,F,0.398,101.65,July,0
Fucus,F,0.573,141.22,July,0
Fucus,M,0.222,114.28,July,0
Fucus,M,0.292,95.76,July,0
Fucus,F,0.266,119.02,July,0
Fucus,M,0.772,101.67,July,0
Fucus,F,0.313,124.95,July,0
Fucus,F,0.394,132.99,July,0
Fucus,M,0.094,82.29,July,0
Fucus,U,0.012,82.93,July,0
Fucus,M,0.068,79.61,July,0
Fucus,U,0.024,101.38,July,0
Fucus,M,0.029,118.14,July,0
Fucus,U,0.021,102.16,July,0
Fucus,U,0.014,109.08,July,0
Fucus,U,0.051,60.9,July,0
Fucus,U,0.06,132.42,July,0
Fucus,F,0.381,98.18,July,0
Fucus,M,0.245,137.41,July,0
Fucus,M,0.13,145.14,August,0
Fucus,M,0.184,89.98,August,0
Fucus,F,0.3,135.42,August,0
Fucus,M,0.274,127.49,August,0
Eelgrass,F,0.076,102.53,August,1
Eelgrass,M,0.101,99.95,August,1
Eelgrass,M,0.311,63.14,August,1
Eelgrass,M,0.184,105.93,August,1
Eelgrass,M,0.168,92.21,August,1
Eelgrass,M,0.15,90.99,August,1
Eelgrass,M,0.052,77.31,August,1
Eelgrass,M,0.162,102.9,August,1
Eelgrass,M,0.121,110.15,August,1
Eelgrass,M,0.162,87.8,August,1
Eelgrass,M,0.071,127.06,August,1
Eelgrass,M,0.26,76.81,August,1
Eelgrass,M,0.206,109.56,August,1
Eelgrass,F,0.224,165.98,August,1
Eelgrass,M,0.367,143.16,August,1
Eelgrass,M,0.207,123.59,August,1
Eelgrass,M,0.185,128.53,August,1
Eelgrass,M,0.055,166.3,August,1